gamma,crater_fraction,rms_slope_deg,chi2
20.0,0.4,30.992248716727225,29101576.061032068
20.0,0.41,31.377260357342664,28778624.011452064
20.0,0.42,31.75760467266784,28457475.337167148
20.0,0.43,32.13344739610802,28138130.03862707
20.0,0.44,32.504944678793535,27820588.116287008
20.0,0.45,32.87224384772684,27504849.57060765
20.0,0.46,33.23548408850701,27190914.402055286
20.0,0.47,33.59479706160449,26878782.61110186
20.0,0.48,33.950307459924076,26568454.198225055
20.0,0.49,34.30213351435102,26259929.163908366
20.0,0.5,34.650387453091355,25953207.508641176
20.0,0.51,34.995175919865545,25648289.23291885
20.0,0.52,35.33660035537268,25345174.337242782
20.0,0.53,35.67475734589251,25043862.822120514
20.0,0.54,36.00973894242082,24744354.688065786
20.0,0.55,36.34163295332621,24446649.935598653
20.0,0.56,36.67052321316499,24150748.56524553
20.0,0.57,36.996489829986025,23856650.57753932
20.0,0.58,37.3196094131925,23564355.97301946
20.0,0.59,37.639955283796944,23273864.75223203
20.0,0.6,37.957597668704224,22985176.91572987
20.0,0.61,38.27260388048098,22698292.464072607
20.0,0.62,38.58503848391491,22413211.39782681
20.0,0.63,38.894963450531506,22129933.717566054
20.0,0.64,39.20243830211545,21848459.423871014
20.0,0.65,39.50752024417827,21568788.517329574
20.0,0.66,39.810264290219706,21290920.998536907
20.0,0.67,40.11072337754743,21014856.868095618
20.0,0.68,40.40894847534537,20740596.126615778
20.0,0.69,40.70498868561572,20468138.7747151
20.0,0.7,40.998891337560465,20197484.813018978
20.0,0.71,41.290702075916286,19928634.24216064
20.0,0.72,41.58046494370962,19661587.062781245
20.0,0.73,41.86822245985673,19396343.27552997
20.0,0.74,42.15401569199592,19132902.881064154
20.0,0.75,42.43788432490509,18871265.880049393
20.0,0.76,42.71986672482737,18611432.273159645
20.0,0.77,43.0,18353402.061077386
20.0,0.78,43.27832005765689,18097175.24449367
20.0,0.79,43.554861657752674,17842751.824108317
20.0,0.8,43.829658463635795,17590131.800629962
20.0,0.81,44.10274308987988,17339315.174776245
20.0,0.82,44.374147147465656,17090301.947273903
20.0,0.83,44.64390128649065,16843092.118858892
20.0,0.84,44.912035236570034,16597685.690276548
20.0,0.85,45.17857784507936,16354082.662281683
20.0,0.86,45.443557113378375,16112283.035638753
20.0,0.87,45.70700023114478,15872286.811121965
20.0,0.88,45.96893360893699,15634093.989515442
20.0,0.89,46.22938290909629,15397704.571613343
20.0,0.9,46.488373075090834,15163118.558220014
20.0,0.91,46.74592835939637,14930335.95015014
20.0,0.92,47.00207235000181,14699356.74822888
20.0,0.93,47.25682799562188,14470180.953292027
20.0,0.94,47.51021762969286,14242808.566186162
20.0,0.95,47.76226299322265,14017239.587768793
20.0,0.96,48.01298525656109,13793474.018908536
20.0,0.97,48.26240504015252,13571511.860485254
20.0,0.98,48.51054243432789,13351353.11339024
20.0,0.99,48.75741701819031,13132997.778526362
20.0,1.0,49.00304787764431,12916445.856808243
30.0,0.0,0.0,37707877.20827551
30.0,0.01,4.900304787764432,37346202.6237561
30.0,0.02,6.930077490618269,36986271.63207977
30.0,0.03,8.487576864981019,36628084.23352185
30.0,0.04,9.800609575528863,36271640.42836109
30.0,0.05,10.957414615908949,35916940.21687977
30.0,0.06,12.003246314140272,35563983.5993637
30.0,0.07,12.964987816843836,35212770.57610229
30.0,0.08,13.860154981236539,34863301.14738858
30.0,0.09,14.700914363293293,34515575.31351931
30.0,0.1,15.496124358363613,34169593.07479495
30.0,0.11,16.252472339396768,33825354.43151979
30.0,0.12,16.975153729962038,33482859.384001903
30.0,0.13,17.66830017768634,33142107.93255332
