rotation_phase,corrected_thermal_radiance_W_cm-2_um-1_sr-1,sigma,accepted_frame_count,accepted_2018-11-02,accepted_2018-11-03
0.7208333333333333,0.00011211938607153453,5.605969303576726e-07,94,47,47
0.7236111111111111,0.00011227303502669319,5.613651751334659e-07,94,47,47
0.7263888888888889,0.00011257489115248131,5.628744557624065e-07,59,47,12
0.7291666666666666,0.00011269078475939307,5.634539237969654e-07,51,47,4
0.7319444444444444,0.00011285219843241923,5.642609921620962e-07,55,47,8
0.7347222222222223,0.0001130443736992852,5.65221868496426e-07,47,47,0
0.7375,0.00011318397819203366,5.659198909601683e-07,47,47,0
0.7402777777777778,0.00011325781652336272,5.662890826168136e-07,46,46,0
0.7430555555555556,0.00011293169556028051,5.646584778014026e-07,92,47,45
0.7458333333333333,0.00011302773752195074,5.651386876097537e-07,94,47,47
0.7486111111111111,0.00011311596108751893,5.655798054375946e-07,94,47,47
0.7513888888888889,0.0001132216819665369,5.661084098326845e-07,94,47,47
0.7541666666666667,0.0001135171792093697,5.675858960468485e-07,59,47,12
0.7569444444444444,0.00011368517033808876,5.684258516904438e-07,51,47,4
0.7597222222222222,0.00011371286053810056,5.685643026905028e-07,55,47,8
0.7625,0.00011372212740948342,5.686106370474171e-07,47,47,0
0.7652777777777777,0.00011375539654165605,5.687769827082803e-07,47,47,0
0.7680555555555556,0.00011376153088895421,5.688076544447711e-07,46,46,0
0.7708333333333334,0.00011340573437320976,5.670286718660488e-07,91,47,44
0.7736111111111111,0.00011343476332036418,5.671738166018209e-07,94,47,47
0.7763888888888889,0.00011349606524453846,5.674803262226923e-07,94,47,47
0.7791666666666667,0.00011361551832580867,5.680775916290433e-07,94,47,47
0.7819444444444444,0.00011395875263649154,5.697937631824577e-07,60,47,13
0.7847222222222222,0.00011415221601133377,5.707610800566689e-07,49,47,2
0.7875,0.00011417297160446263,5.708648580223132e-07,55,47,8
0.7902777777777777,0.00011424645087050723,5.712322543525362e-07,48,47,1
0.7930555555555555,0.00011436564568795699,5.71828228439785e-07,47,47,0
0.7958333333333333,0.00011443279138767915,5.721639569383957e-07,46,46,0
0.7986111111111112,0.00011412955826110156,5.706477913055079e-07,91,47,44
0.8013888888888889,0.0001141738073426719,5.708690367133595e-07,93,47,46
0.8041666666666667,0.00011422722026780918,5.711361013390459e-07,94,47,47
0.8069444444444445,0.00011434209912984585,5.717104956492293e-07,94,47,47
0.8097222222222222,0.00011466359839428883,5.733179919714441e-07,60,47,13
0.8125,0.00011477156133997475,5.738578066998737e-07,50,47,3
0.8152777777777778,0.00011472304644119073,5.736152322059536e-07,55,47,8
0.8180555555555555,0.000114677052897552,5.7338526448776e-07,48,47,1
0.8208333333333333,0.00011473226294185473,5.736613147092737e-07,47,47,0
0.8236111111111111,0.00011474943690166465,5.737471845083233e-07,46,46,0
0.8263888888888888,0.00011443752482071544,5.721876241035772e-07,90,47,43
0.8291666666666667,0.00011446263767931326,5.723131883965663e-07,93,47,46
0.8319444444444445,0.00011453884757542889,5.726942378771444e-07,94,47,47
0.8347222222222223,0.00011467387914503412,5.733693957251706e-07,94,47,47
0.8375,0.00011504440351627476,5.752220175813738e-07,60,47,13
0.8402777777777778,0.00011527034496169276,5.763517248084638e-07,52,47,5
0.8430555555555556,0.00011538030080084358,5.769015040042179e-07,56,47,9
0.8458333333333333,0.00011549197514145987,5.774598757072994e-07,48,47,1
0.8486111111111111,0.00011563405686565755,5.781702843282878e-07,47,47,0
0.8513888888888889,0.00011579836558753379,5.78991827937669e-07,47,47,0
0.8541666666666666,0.00011560550511503418,5.780275255751709e-07,88,46,42
0.8569444444444444,0.00011572140420542363,5.786070210271182e-07,93,47,46
0.8597222222222223,0.00011586445434960568,5.793222717480285e-07,94,47,47
0.8625,0.00011609583880392795,5.804791940196397e-07,94,47,47
0.8652777777777778,0.00011646544979161149,5.823272489580574e-07,61,47,14
0.8680555555555556,0.0001166316344643729,5.831581723218646e-07,52,47,5
0.8708333333333333,0.0001167589458823696,5.83794729411848e-07,55,47,8
0.8736111111111111,0.00011690101747730001,5.845050873865001e-07,50,47,3
0.8763888888888889,0.00011704969074145681,5.852484537072841e-07,47,47,0
0.8791666666666667,0.00011715973739767483,5.857986869883741e-07,47,47,0
0.8819444444444444,0.00011687154609644542,5.843577304822271e-07,87,46,41
0.8847222222222222,0.0001169441580129246,5.84720790064623e-07,94,47,47
0.8875,0.00011700119781026073,5.850059890513037e-07,93,47,46
